condition,tone_hz,puppet,hostname,device,band_125_db,band_250_db,band_500_db,band_750_db,band_1000_db,band_1500_db,band_2000_db,band_4000_db,band_8000_db,broadband_db,n_frames,duration_s
speech,,P4,Puppet-4,"plughw:1,0",-47.83,-47.56,-48.91,-59.44,-62.15,-64.2,-59.02,-64.86,-84.5,-36.2,259,6.0
tone,125,P1,Puppet-1,"plughw:1,0",-13.29,-54.59,-65.07,-66.22,-68.76,-72.38,-62.94,-64.6,-85.25,-12.76,259,6.0
tone,125,P2,Puppet-2,"plughw:1,0",-12.11,-53.49,-63.88,-65.53,-69.84,-65.6,-61.53,-62.97,-83.68,-11.58,259,6.0
tone,125,P3,Puppet-3,"plughw:1,0",-12.49,-53.94,-64.82,-67.44,-72.06,-67.01,-63.75,-66.59,-82.98,-11.95,259,6.0
tone,125,P4,Puppet-4,"plughw:1,0",-11.65,-53.15,-64.31,-65.95,-68.53,-71.94,-60.6,-66.14,-85.09,-11.13,259,6.0
tone,250,P1,Puppet-1,"plughw:1,0",-54.45,-32.63,-66.39,-65.95,-69.2,-72.49,-63.11,-64.62,-85.41,-29.5,259,6.0
tone,250,P2,Puppet-2,"plughw:1,0",-53.35,-31.85,-65.1,-65.56,-70.48,-66.0,-61.49,-63.21,-83.73,-28.7,259,6.0
tone,250,P3,Puppet-3,"plughw:1,0",-53.41,-32.23,-66.46,-67.24,-72.74,-67.17,-63.84,-66.51,-83.14,-29.11,259,6.0
tone,250,P4,Puppet-4,"plughw:1,0",-52.57,-31.44,-66.37,-65.99,-69.45,-72.36,-60.87,-66.34,-85.22,-28.28,259,6.0
tone,500,P1,Puppet-1,"plughw:1,0",-57.57,-65.48,-40.51,-66.5,-69.32,-70.92,-62.84,-64.58,-85.21,-33.95,259,6.0
tone,500,P2,Puppet-2,"plughw:1,0",-55.05,-63.42,-38.6,-65.32,-69.82,-65.43,-61.35,-63.02,-83.87,-32.13,259,6.0
tone,500,P3,Puppet-3,"plughw:1,0",-56.59,-64.58,-38.17,-67.35,-71.76,-66.71,-63.52,-66.49,-82.87,-31.81,259,6.0
tone,500,P4,Puppet-4,"plughw:1,0",-54.74,-63.96,-36.46,-65.35,-68.96,-71.24,-60.57,-66.09,-85.32,-30.1,259,6.0
